_id,fullName,phoneNumber,specialization,licenseNumber,createdAt
D001,Dr. Arvind Rao,9811200001,Cardiology,LICC1001,2025-02-01T10:00:00Z
D002,Dr. Shreya Banerjee,9811200002,Neurology,LICN1002,2025-02-01T10:01:00Z
D003,Dr. Manish Chhabra,9811200003,Dermatology,LICD1003,2025-02-01T10:02:00Z
D004,Dr. Priya Menon,9811200004,Pediatrics,LICP1004,2025-02-01T10:03:00Z
D005,Dr. Kunal Thakur,9811200005,General Medicine,LICG1005,2025-02-01T10:04:00Z
D006,Dr. Sanya Arora,9811200006,Gynecology,LICG1006,2025-02-01T10:05:00Z
D007,Dr. Aditya Kapoor,9811200007,Orthopedics,LIO1007,2025-02-01T10:06:00Z
D008,Dr. Neelima Suresh,9811200008,Ophthalmology,LICO1008,2025-02-01T10:07:00Z
D009,Dr. Vikram Joshi,9811200009,ENT,LICE1009,2025-02-01T10:08:00Z
D010,Dr. Riya Kulkarni,9811200010,Oncology,LICO1010,2025-02-01T10:09:00Z
D011,Dr. Harish Patel,9811200011,Psychiatry,LICP1011,2025-02-01T10:10:00Z
D012,Dr. Meena Solanki,9811200012,Radiology,LICR1012,2025-02-01T10:11:00Z
D013,Dr. Arjun Rao,9811200013,Urology,LICU1013,2025-02-01T10:12:00Z
D014,Dr. Anisha Bose,9811200014,Endocrinology,LICE1014,2025-02-01T10:13:00Z
D015,Dr. Nikhil Verma,9811200015,Nephrology,LICN1015,2025-02-01T10:14:00Z
